Possible suggested parts list for 2 camera BeamDelta hardware.,,,,,,,
IMD 25/10/2019,,,,,,,
Optomechanism from Thorlabs,,,,,,,
Camers from Ximea,,,,,,,
,,,,,,,
Cameras,,Quantity,,total,,,
xiQ MQ042MG-CM,,2,1269.04,2538.08,,,
,,,,,,,
,,,,,,,
Description,Optomechnaics,Quantity,cost,,,,
mounted 50:50 non polarising beamsplitter cube ,CCM1-BS013/M,1,222.38,222.38,,,
"Right-Angle Kinematic Mirror Mount with Tapped Cage Rod Holes, ",KCB1/M,1,110.47,110.47,,,
"SM1-Threaded 30 mm Cage Plate, 0.35"" Thick, 2 Retaining Rings, M4 Tap",CP02/M,3,12.67,38.01,,,
"Rod Adapter for Ø6 mm ER Rods, 4 Pack",ERSCA-P4,1,34.23,34.23,,,
"Cage Assembly Rod, 1/2"" Long, Ø6 mm, 4 Pack",ER05-P4,3,14.83,44.49,,,
Adapter with External C-Mount Threads and External SM1 Threads,SM1A39,2,15.91,31.82,,,
"Cage Assembly Rod, 8"" Long, Ø6 mm, 4 Pack",ER8-P4,1,34.34,34.34,,,
"Ø1"" Broadband Dielectric Mirror, 400 - 750 nm",BB1-E02,1,58.01,58.01,,,
,,,Total Cost,3111.83,,,
optional,,,,,,,
"30 mm Removable Cage Plate, Front and Back Plate, Internal SM1 Threading",CP90F,1,39.77,39.77,,,
"f=100 mm, Ø1"" Achromatic Doublet, SM1-Threaded Mount, ARC: 400-700 nm",AC254-100-A-ML,1,79.54,79.54,,,
,,,Additional cost,119.31,,,